供应商名称;股票代码;报告期;金额(万元)
北京计算机技术及应用研究所;-;2017-12-31;70,483.00
华为技术有限公司;-;2017-12-31;61,254.12
航天信息股份有限公司;600271.SH;2017-12-31;14,271.29
上海富控文化传媒有限公司;-;2017-12-31;10,161.73
厦门亿力吉奥信息科技有限公司;-;2017-12-31;10,149.73
北京卓华信息技术股份有限公司;831030.OC;2017-12-31;4,642.19
爱知世元(北京)网络股份有限公司;834817.OC;2017-12-31;2,273.32
北京安博通科技股份有限公司;839570.OC;2017-12-31;1,607.41
深圳市金蝶天燕中间件股份有限公司;871155.OC;2017-12-31;1,111.50
北京太极华保科技股份有限公司;836491.OC;2017-12-31;901.65
湖南中普技术股份有限公司;831811.OC;2017-12-31;845.56
北京中科金马科技股份有限公司;831661.OC;2017-12-31;490.35
北京时代亿信科技股份有限公司;834139.OC;2017-12-31;256.84
内蒙古华腾科技股份有限公司;834439.OC;2017-12-31;230.02
山东泰信电子股份有限公司;430576.OC;2017-12-31;35.14
