0	[54, 56, 65, 97, 138, 191]
1	[45, 47]
2	[67, 72, 104]
3	[18, 23, 26, 40, 142, 203, 227]
4	[15, 50, 54, 110, 139, 210]
5	[5, 9, 31, 54, 148, 194, 197]
6	[13, 137, 147, 174]
7	[1, 5, 14, 154, 162, 175, 201, 205]
8	[125, 143, 152, 185]
9	[32, 83, 118]
10	[3, 35, 49, 57]
11	[4, 92, 110]
12	[19, 22, 39, 54, 114, 169, 181, 222]
13	[0, 14, 27, 77, 88, 117, 130, 173, 183]
14	[45, 66, 99, 105]
15	[6, 29, 63, 136, 146]
16	[39, 41, 92, 100, 107]
17	[13, 32, 102]
18	[0, 35, 38, 54, 88, 114]
19	[20, 53, 59, 85, 98]
20	[21, 38, 45, 65, 102, 103]
21	[11, 19, 29, 106, 111, 161, 180]
22	[23, 24, 32]
23	[30, 39, 43, 86, 87, 141, 145]
24	[2, 10, 87, 127]
25	[18, 83, 87]
26	[35, 77]
27	[3, 134, 156]
28	[5, 43, 51]
29	[68, 89, 90, 110, 140, 168, 177]
30	[1, 28, 40, 51, 71, 133]
31	[12, 44, 59, 81, 155, 182]
32	[4, 10, 46, 78, 116, 117, 172]
33	[23, 63, 68, 82, 90]
34	[46, 72, 121]
35	[1, 43, 135, 140, 143, 164, 187]
36	[22, 45, 91, 99, 143]
37	[8, 30, 68, 75]
38	[44, 69, 83, 112, 123]
39	[0, 176, 194, 213, 221]
40	[11, 13, 26, 27, 205, 209, 224]
41	[7, 31, 52]
42	[3, 9, 19]
43	[4, 63, 112, 118, 133, 186, 213]
44	[19, 70, 106, 123]
45	[53, 87, 123, 172, 183]
46	[47, 56, 127, 167, 182]
47	[32, 42, 51]
48	[61, 79, 83, 130, 170, 184]
49	[5, 43, 45, 93]
50	[4, 44, 72, 74, 93]
51	[61, 78, 100]
52	[35, 38, 47]
53	[8, 13, 55, 66]
54	[17, 88]
55	[42, 43, 91, 134, 179, 193]
56	[4, 27, 92, 107, 137]
57	[41, 123, 146, 166]
58	[57, 98, 114, 176]
59	[9, 14, 24, 61]
60	[69, 84]
61	[35, 60, 82, 119, 123, 171]
62	[13, 50, 169]
63	[0, 19, 55, 107, 127, 159, 185, 202]
64	[15, 21, 61, 103, 137, 157, 178, 212]
65	[4, 27, 72, 141]
66	[5, 41]
67	[0, 13, 90, 95, 96, 102, 179, 191]
68	[82, 132]
69	[16, 76, 89, 118, 148]
70	[75, 94, 125, 152]
71	[1, 27, 47, 58, 73, 168, 197]
72	[17, 27, 121, 168, 193]
73	[48, 58, 91, 100, 102, 149, 165, 218]
74	[13, 36, 56, 59]
75	[5, 47, 52, 82]
76	[112, 121, 132]
77	[2, 17, 21, 50, 99, 165]
78	[12, 19, 32, 50, 54, 76, 114, 137, 197]
79	[10, 27, 52, 61, 63, 84, 138, 174]
80	[34, 57, 113, 176, 210]
81	[9, 26, 42, 52, 66, 139, 217]
82	[42, 49, 67, 109, 133]
83	[15, 28, 46, 74, 98, 137, 205]
84	[18, 54, 100, 138, 141, 205, 214]
85	[50, 54, 64, 149, 169]
86	[107, 158, 164, 175]
87	[12, 19, 22, 89, 137, 174, 186, 221]
88	[67, 120, 126, 171, 192]
89	[8, 75, 101, 160, 222]
90	[0, 8, 13]
91	[48, 146, 168, 193]
92	[1, 55, 65, 73, 99]
93	[6, 26, 92, 146, 179]
94	[7, 44]
95	[12, 42, 50, 92, 115]
96	[28, 138, 150, 158, 168, 226]
97	[12, 29]
98	[27, 43, 142, 207]
99	[50, 76, 130, 165, 195]
100	[98, 128, 166, 224, 225]
101	[63, 65, 71, 122, 194, 195, 201, 210]
102	[0, 12, 56]
103	[34, 51, 53, 86, 87, 89]
104	[1, 3, 23, 31, 147, 199]
105	[52, 77, 81]
106	[85, 102]
107	[81, 101, 125, 148, 149, 187]
108	[38, 43, 82, 195]
109	[54, 58, 74, 108]
110	[22, 32, 100, 187]
111	[25, 47, 94, 103, 114]
112	[41, 65, 92, 113]
113	[66, 85, 135, 151, 196]
114	[13, 21, 46, 55, 67, 93]
115	[32, 36, 104, 143, 145, 177]
116	[32, 48, 52, 166, 173, 184, 210, 226]
117	[27, 78, 121, 131, 154]
118	[15, 42, 78]
119	[123, 170]
120	[59, 78, 118]
121	[54, 82, 83]
122	[2, 11, 23]
123	[10, 96, 144, 146]
124	[39, 45, 151, 171]
125	[3, 89, 107, 110, 214]
126	[105, 160, 182, 193, 215]
127	[12, 13, 21, 58, 76, 77]
128	[22, 41, 44, 79, 88]
129	[4, 26, 100, 115, 137]
130	[3, 42, 45, 82, 131, 185, 191]
131	[3, 6, 57, 70, 154, 171, 207]
132	[1, 25, 52, 91, 186, 195, 227]
133	[1, 29, 70, 163]
134	[15, 20, 21, 43, 99]
135	[55, 72, 114, 130, 161, 163]
136	[10, 97]
137	[3, 14, 24, 46, 59, 142, 180]
138	[9, 17, 88, 91, 112]
139	[3, 60, 65, 104, 162, 169, 215]
140	[16, 20]
