证券代码,证券名称,行业
000555.SZ,神州信息,IT服务
002065.SZ,东华软件,IT服务
002195.SZ,二三四五,IT服务
002232.SZ,启明信息,IT服务
002280.SZ,联络互动,IT服务
002296.SZ,辉煌科技,IT服务
002331.SZ,皖通科技,IT服务
002368.SZ,太极股份,IT服务
002373.SZ,千方科技,IT服务
002380.SZ,科远股份,IT服务
002401.SZ,中海科技,IT服务
002421.SZ,达实智能,IT服务
002474.SZ,榕基软件,IT服务
002512.SZ,达华智能,IT服务
002609.SZ,捷顺科技,IT服务
002642.SZ,荣之联,IT服务
002649.SZ,博彦科技,IT服务
002657.SZ,中科金财,IT服务
002766.SZ,索菱股份,IT服务
002771.SZ,真视通,IT服务
002777.SZ,久远银海,IT服务
300002.SZ,神州泰岳,IT服务
300010.SZ,立思辰,IT服务
300020.SZ,银江股份,IT服务
300044.SZ,赛为智能,IT服务
300051.SZ,三五互联,IT服务
300079.SZ,数码视讯,IT服务
300096.SZ,易联众,IT服务
300150.SZ,世纪瑞尔,IT服务
300166.SZ,东方国信,IT服务
300167.SZ,迪威视讯,IT服务
300168.SZ,万达信息,IT服务
300170.SZ,汉得信息,IT服务
300212.SZ,易华录,IT服务
300231.SZ,银信科技,IT服务
300245.SZ,天玑科技,IT服务
300248.SZ,新开普,IT服务
300264.SZ,佳创视讯,IT服务
300271.SZ,华宇软件,IT服务
300277.SZ,海联讯,IT服务
300287.SZ,飞利信,IT服务
300290.SZ,荣科科技,IT服务
300297.SZ,蓝盾股份,IT服务
300300.SZ,汉鼎股份,IT服务
300324.SZ,旋极信息,IT服务
300330.SZ,华虹计通,IT服务
300339.SZ,润和软件,IT服务
300365.SZ,恒华科技,IT服务
300384.SZ,三联虹普,IT服务
300399.SZ,京天利,IT服务
300419.SZ,浩丰科技,IT服务
300440.SZ,运达科技,IT服务
300448.SZ,浩云科技,IT服务
300455.SZ,康拓红外,IT服务
300496.SZ,中科创达,IT服务
600271.SH,航天信息,IT服务
600410.SH,华胜天成,IT服务
600446.SH,金证股份,IT服务
600476.SH,湘邮科技,IT服务
600536.SH,中国软件,IT服务
600571.SH,信雅达,IT服务
600718.SH,东软集团,IT服务
600728.SH,佳都科技,IT服务
600756.SH,浪潮软件,IT服务
600797.SH,浙大网新,IT服务
600845.SH,宝信软件,IT服务
603508.SH,思维列控,IT服务
603636.SH,南威软件,IT服务
603918.SH,金桥信息,IT服务
000595.SZ,宝塔实业,机械基础件
000777.SZ,中核科技,机械基础件
002026.SZ,山东威达,机械基础件
002046.SZ,轴研科技,机械基础件
002122.SZ,天马股份,机械基础件
002147.SZ,方圆支承,机械基础件
002164.SZ,宁波东力,机械基础件
002204.SZ,大连重工,机械基础件
002272.SZ,川润股份,机械基础件
002347.SZ,泰尔重工,机械基础件
002423.SZ,中原特钢,机械基础件
002426.SZ,胜利精密,机械基础件
002438.SZ,江苏神通,机械基础件
002480.SZ,新筑股份,机械基础件
002514.SZ,宝馨科技,机械基础件
002537.SZ,海立美达,机械基础件
002552.SZ,宝鼎科技,机械基础件
002633.SZ,*ST申科,机械基础件
002760.SZ,凤形股份,机械基础件
300034.SZ,钢研高纳,机械基础件
300092.SZ,科新机电,机械基础件
300185.SZ,通裕重工,机械基础件
300260.SZ,新莱应材,机械基础件
300345.SZ,红宇新材,机械基础件
300421.SZ,力星股份,机械基础件
300443.SZ,金雷风电,机械基础件
300488.SZ,恒锋工具,机械基础件
600382.SH,广东明珠,机械基础件
600592.SH,龙溪股份,机械基础件
600765.SH,中航重机,机械基础件
601002.SH,晋亿实业,机械基础件
601100.SH,恒立液压,机械基础件
601177.SH,杭齿前进,机械基础件
603308.SH,应流股份,机械基础件
603315.SH,福鞍股份,机械基础件
603699.SH,纽威股份,机械基础件
002005.SZ,德豪润达,LED
002449.SZ,国星光电,LED
002587.SZ,奥拓电子,LED
002638.SZ,勤上光电,LED
002654.SZ,万润科技,LED
002745.SZ,木林森,LED
300102.SZ,乾照光电,LED
300162.SZ,雷曼股份,LED
300219.SZ,鸿利光电,LED
300232.SZ,洲明科技,LED
300241.SZ,瑞丰光电,LED
300269.SZ,联建光电,LED
300296.SZ,利亚德,LED
300301.SZ,长方照明,LED
300303.SZ,聚飞光电,LED
300317.SZ,珈伟股份,LED
300323.SZ,华灿光电,LED
300346.SZ,南大光电,LED
300389.SZ,艾比森,LED
600363.SH,联创光电,LED
600460.SH,士兰微,LED
600703.SH,三安光电,LED
000584.SZ,友利控股,氨纶
002064.SZ,华峰氨纶,氨纶
002254.SZ,泰和新材,氨纶
000568.SZ,泸州老窖,白酒
000596.SZ,古井贡酒,白酒
000799.SZ,*ST酒鬼,白酒
000858.SZ,五粮液,白酒
000860.SZ,顺鑫农业,白酒
000995.SZ,*ST皇台,白酒
002304.SZ,洋河股份,白酒
600197.SH,伊力特,白酒
600199.SH,金种子酒,白酒
600519.SH,贵州茅台,白酒
600559.SH,老白干酒,白酒
600702.SH,沱牌舍得,白酒
600779.SH,*ST水井,白酒
600809.SH,山西汾酒,白酒
603198.SH,迎驾贡酒,白酒
603369.SH,今世缘,白酒
603589.SH,口子窖,白酒
000516.SZ,国际医学,百货
000564.SZ,西安民生,百货
000715.SZ,中兴商业,百货
000889.SZ,茂业通信,百货
000987.SZ,广州友谊,百货
002187.SZ,广百股份,百货
002277.SZ,友阿股份,百货
002561.SZ,徐家汇,百货
600280.SH,中央商场,百货
600628.SH,新世界,百货
600682.SH,南京新百,百货
600693.SH,东百集团,百货
600712.SH,南宁百货,百货
600723.SH,首商股份,百货
600814.SH,杭州解百,百货
600821.SH,津劝业,百货
600828.SH,成商集团,百货
600859.SH,王府井,百货
600861.SH,北京城乡,百货
600891.SH,秋林集团,百货
603123.SH,翠微股份,百货
000670.SZ,盈方微,半导体材料
002119.SZ,康强电子,半导体材料
002129.SZ,中环股份,半导体材料
002371.SZ,七星电子,半导体材料
600206.SH,有研新材,半导体材料
000659.SZ,*ST中富,包装印刷
000812.SZ,陕西金叶,包装印刷
002014.SZ,永新股份,包装印刷
002103.SZ,广博股份,包装印刷
002117.SZ,东港股份,包装印刷
002191.SZ,劲嘉股份,包装印刷
002228.SZ,合兴包装,包装印刷
002229.SZ,鸿博股份,包装印刷
002243.SZ,通产丽星,包装印刷
002303.SZ,美盈森,包装印刷
002374.SZ,丽鹏股份,包装印刷
002522.SZ,浙江众成,包装印刷
002565.SZ,上海绿新,包装印刷
002585.SZ,双星新材,包装印刷
002599.SZ,盛通股份,包装印刷
002701.SZ,奥瑞金,包装印刷
002735.SZ,王子新材,包装印刷
002752.SZ,_兴股份,包装印刷
002787.SZ,华源包装,包装印刷
300057.SZ,万顺股份,包装印刷
600210.SH,紫江企业,包装印刷
600836.SH,界龙实业,包装印刷
601515.SH,东风股份,包装印刷
601968.SH,宝钢包装,包装印刷
603022.SH,新通联,包装印刷
603899.SH,晨光文具,包装印刷
300501.SZ,海顺新材,包装印刷
600291.SH,西水股份,保险
601318.SH,中国平安,保险
601336.SH,新华保险,保险
601601.SH,中国太保,保险
601628.SH,中国人寿,保险
000532.SZ,力合股份,被动元件
000636.SZ,风华高科,被动元件
000701.SZ,厦门信达,被动元件
000733.SZ,振华科技,被动元件
002138.SZ,顺络电子,被动元件
002199.SZ,东晶电子,被动元件
002222.SZ,福晶科技,被动元件
002389.SZ,南洋科技,被动元件
002484.SZ,江海股份,被动元件
