供应商名称;股票代码;报告期;金额(万元)
上海安硕信息技术股份有限公司;300380.SZ;2017-12-31;2,514.40
江苏中融外包服务股份有限公司;835047.OC;2017-12-31;1,828.40
山西中网信息产业股份有限公司;870298.OC;2017-12-31;1,408.65
深圳市赢时胜信息技术股份有限公司;300377.SZ;2017-12-31;1,378.46
杭州时代银通软件股份有限公司;872516.OC;2017-12-31;1,166.33
四川金投金融电子服务股份有限公司;834023.OC;2017-12-31;1,039.11
湖南丰汇银佳科技股份有限公司;833592.OC;2017-12-31;890.38
北京新赛点体育投资股份有限公司;834425.OC;2017-12-31;790.34
华青融天(北京)技术股份有限公司;836124.OC;2017-12-31;536.79
北京羽实箫恩信息技术股份有限公司;870754.OC;2017-12-31;415.09
天职工程咨询股份有限公司;836208.OC;2017-12-31;355.57
广东通莞科技股份有限公司;833006.OC;2017-12-31;291.68
北京亿创网安科技股份有限公司;430072.OC;2017-12-31;146.70
深圳市联瀛科技股份有限公司;839480.OC;2017-12-31;112.97
宇鑫(厦门)货币兑换股份有限公司;834510.OC;2017-12-31;112.83
