客户名称;股票代码;报告期;金额(万元)
上药集团常州药业股份有限公司;-;2016-12-31;3,320.51
济南国康医药有限公司;-;2016-12-31;2,054.71
四川欣吉利医药有限责任公司;-;2016-12-31;1,652.55
石家庄天利医药有限公司;-;2016-12-31;1,576.29
康美药业股份有限公司;600518.SH;2016-12-31;1,468.75
辽宁一鼎医药有限公司;-;2016-12-31;1,381.68
四川瑞达医药有限公司;-;2016-12-31;883.07
西藏阜康医药科技有限公司;-;2016-12-31;792.00
山西碧锦纳川贸易有限公司;-;2016-12-31;696.94
湖北新方向医药股份有限公司;-;2016-12-31;692.55
西安华协医药有限责任公司;-;2016-12-31;688.12
云南尚康药业有限公司;-;2016-12-31;669.23
江西丰厚医药有限公司;-;2016-12-31;641.20
江西金盛医药有限公司;-;2016-12-31;592.81
国瑞华泰(北京)医药有限公司;-;2016-12-31;569.09
成都众牌医药有限责任公司;-;2016-12-31;538.40
广西桂康医药有限责任公司;-;2016-12-31;502.77
湖北人福长江医药有限公司;-;2016-12-31;473.51
吉林省众澎润生药业有限公司;-;2016-12-31;450.17
