供应商名称;股票代码;报告期;金额(万元)
湖南投资集团股份有限公司;000548.SZ;2017-12-31;74,838.33
深圳联合金融服务集团股份有限公司;839269.OC;2017-12-31;16,155.41
江苏汇通金融数据股份有限公司;833631.OC;2017-12-31;6,011.36
上海雷珏信息科技股份有限公司;834928.OC;2017-12-31;2,180.14
上海财安金融服务集团股份有限公司;430656.OC;2017-12-31;1,491.84
深圳市赢时胜信息技术股份有限公司;300377.SZ;2017-12-31;1,423.90
上海企源科技股份有限公司;833132.OC;2017-12-31;1,244.89
上海新世傲文化传播股份有限公司;833057.OC;2017-12-31;1,069.32
北京递蓝科软件股份有限公司;833785.OC;2017-12-31;494.09
北京金信瑞通科技股份有限公司;833801.OC;2017-12-31;403.82
福建创识科技股份有限公司;832953.OC;2017-12-31;338.43
深圳市拜特科技股份有限公司;834596.OC;2017-12-31;316.55
北京时光一百电子商务股份有限公司;836142.OC;2017-12-31;265.23
湖南创星科技股份有限公司;835331.OC;2017-12-31;244.10
上海五道口教育科技股份有限公司;838782.OC;2017-12-31;201.12
长沙卡友信息服务股份有限公司;836226.OC;2017-12-31;152.86
深圳聚融科技股份有限公司;838594.OC;2017-12-31;109.06
广州卡宝宝互联网金融信息服务股份有限公司;833906.OC;2017-12-31;85.46
北京全景视觉网络科技股份有限公司;834877.OC;2017-12-31;61.06
