供应商名称;股票代码;报告期;金额(万元)
浙江世宝股份有限公司;002703.SZ;2017-12-31;12,520.93
江苏龙蟠科技股份有限公司;603906.SH;2017-12-31;11,953.24
合肥汇通控股股份有限公司;831204.OC;2017-12-31;9,149.48
合肥东胜新能源汽车股份有限公司;839945.OC;2017-12-31;6,453.77
成都西菱动力科技股份有限公司;300733.SZ;2017-12-31;6,341.38
济南奥图自动化股份有限公司;833748.OC;2017-12-31;3,166.67
安徽岳塑汽车工业股份有限公司;831875.OC;2017-12-31;2,275.60
若宇检具股份有限公司;-;2017-12-31;1,949.23
安徽永锋防护科技股份有限公司;871923.OC;2017-12-31;1,427.86
合肥神舟催化净化器股份有限公司;870379.OC;2017-12-31;1,411.22
湖北雷迪特冷却系统股份有限公司;831309.OC;2017-12-31;763.41
苏州帝瀚环保科技股份有限公司;833412.OC;2017-12-31;577.44
上海瑞珑汽车科技股份有限公司;831684.OC;2017-12-31;516.53
上海立峰汽车传动件股份有限公司;870451.OC;2017-12-31;487.21
北京卡车之家信息技术股份有限公司;834063.OC;2017-12-31;409.10
