00030;四方面措施促进工业长期可持续发展
00072;周三国内油价开启新一轮调价窗口 或迎年内首次搁浅
00105;成品油调价窗口今日打开 多家机构预测将上调170元/吨左右
00156;大庆油田采油七厂多措并举压出高效益
00406;下半年国际油价面临下跌风险 OPEC减产计划受到威胁
00415;发改委:汽油、柴油每吨分别上调170元和165元
00445;钢铁板块成"吸金王" 业内预计钢市下半年仍偏好
00508;油市情况好转刺激俄罗斯 2018年底前后或退出减产协议
00541;国际能源署:到2023年石油市场供需将趋紧
00632;默克尔:必要时将对美采取"明确的反制措施"
00761;美国将成全球最大产油国
00763;2018年4月16日国内各地汽油柴油市场行情价格汇总
00772;明起油价年内"第六涨" 加满一箱多花6.5元
00777;中国外交部回应在加倾销钢制品指控:钢铁产能过剩是全球性问题
00788;经济学家调查:预计2018年全年经济增速为6.7%
00905;全国政协委员、中石油集团董事长王宜林:正制定措施确保今冬明春天然气供应
00964;发改委答记者问:正制定未来五年的乡村振兴规划
01037;马上就要发布人工智能项目指南和细则
01081;原油价格上涨 中上游产业链个股估值重估
01106;上海:生物柴油试点销售扩大到200个加油站
01231;石油生产商可能会以65美元的价格来提高投资者的胃口
01238;有色金属行业周报:钴价有所回调 仍将受益新能源汽车增长
01241;美国2月9日当周API原油库存 +394.7万桶
01347;天然气市场化改革"出大招" 启动预售交易防"气荒"
01430;中国云计算平台助力阿联酋石油科研
01465;国际油价4月20日上涨
01485;国内成品油调价窗口今日开启 或创近半年最大降幅
01496;今日国内油价将上调
01547;美媒:俄罗斯沙特要结石油联盟 或达成20年油价调控协议
01613;发改委:国内汽、柴油价格每吨分别降190元和185元
01636;国内油价周三将迎两连跌
01666;肖钢谈为何不设M2目标
01731;光汇石油(00933)创新模式亮眼:实业做互联网+的坚实后盾
01756;前10月钢铁行业利润同比增1.6倍 中钢协:钢价不存在泡沫
01856;4月2日起我国对原产美国7类128项进口商品中止关税减让义务
02131;国际油价升至3年来高位 谁在背后操纵?
02147;发改委:推动重点地区钢铁企业加快兼并重组
02185;发改委:国内汽、柴油价格每吨将分别提高170元和165元
02310;中俄原油管道单月输油量首破200万吨
02438;美国的禁运将是委内瑞拉石油业的"末日"
02466;多家机构最新预测:本轮成品油价下调160元/吨左右
02544;中国铝业：从“输血止血”向“自主造血”转变
02556;92号汽油每升涨至7.10元
02562;2月份减产协议执行率创新高,产量过剩情况急速减少
02577;巴林发现"超级油气田"现有储量"相形见绌"
02666;青海油田连续发现5个亿吨级油气田 新增探明油气储量4.6亿吨
02728;油价上涨或扼杀印度的经济增长?这个"大胃王"亟需摆脱原油进口依赖!
02949;成品油调价窗口今日开启 或迎2018年首次搁浅
02965;万亿资本运作 半导体国产化进程加速
02985;成品油今迎调价窗口:机构预计宽幅下调 "二连跌"将落地
03015;所有车主先别急着加油!油价要降了 每升便宜1毛5!
03034;上半年废钢市场呈现三大变化
03263;机构:国内汽、柴油价每吨或分别下调170、160元
03284;发改委:坚决打赢钢铁去产能攻坚战
03318;IEA削减OPEC产能预期 未来五年全球油市或趋紧
03528;新一轮成品油调价窗口开启在即 机构预测将上调
03551;船舶供油企业港口经营许可将取消 多部委建立低硫燃油供应制度
03600;成品油调价窗口明日24时开启 "两连跌"成定局
03697;欧盟将对华不锈钢无缝钢管反倾销税延长5年
03931;今年首月国内钢铁PMI回升 关注电炉钢成长空间
04014;OPEC月报:预计2018年全球原油需求增速为165万桶/日
04049;地缘政治风险上升背景下的油服行业投资框架
04150;河北省严格实施钢企错峰生产 行业盈利状况良好
04197;年内油价暴涨50% 石油巨头笑很多大企业哭
04203;2023年石油需求稳固增长
04345;财务费用攀升吞噬利润 368家公司资产负债率逾70%
04381;发改委:新一轮成品油价格上调 汽柴油迎来四连涨
04406;青海连续发现5个"亿吨级"油气田
04424;成品油价格开启疯涨模式:部分炼厂一天涨价两三次
04435;油价今日或近七个月首下调 春节出行可少花油钱
04522;国际能源署:未来能源消费增长由中国主导
04523;油价迎年内第四次上调 国内汽油价格每吨提高55元
04534;河北史上最严冬季限产措施出炉 钢材最高减产5000万吨!
04561;全球最大产油国宝座易主,减产协议继续生效
04564;4月18日中国汽、柴油平均批发价格分别为7551、6480元/吨
04569;商务部:上周钢材、煤炭等价格均小幅下降
04620;油价屡创新高 百姓生活影响几何
04649;新版钢铁发展指导意见或年底出台 去杠杆将是重点
04660;国资国企改革全面步入质量提升年
04834;利好涉油上市公司
04924;分析师为何唱多周期股?看看发改委去产能的时间表!
04957;美国页岩油产量连续10个月增长 石油行业正在开启新一轮周期
05158;国际油价飙升激发石油板块潜能 油服行业复苏拐点进一步明确
05221;重磅来袭:新能源又添新家族 煤化工副产品成为98号高清汽油
05233;俄企拒恢复供气 乌克兰应对天然气短缺
05253;国内成品油价格按机制上调
05323;国际油价创近三年半新高 国内油价今日料"四连涨"
05371;国际油价上涨 纽约油价涨逾3%
05385;油气产业链业绩回暖
05473;国内油价今日或迎7个月来首次下调:加满一箱油将少花5元
05535;加油站一季度盈利同比缩水利润难回鼎盛时期
05539;油市供需平衡或要到年底国际油价上下两难
05559;欧佩克石油产量下降
05591;特朗普签署对欧盟、澳、韩等地的钢铝关税赦免
05666;原油成为云南省外贸进口最大增长点 占全省进口总额13.6%
05682;3月14日国内成品油调价大概率搁浅
05710;新一轮成品油调价窗口将开启 机构预测上调
05737;老油田 新活力
05888;美国宣布退出伊朗核协议 页岩油或借机加大出口
05966;2018年国内成品油价调整或首次搁浅
06078;机构称油价迎"两连跌" 汽油或跌0.15元/升
06155;燃料储备不足50天!澳大利亚再陷"油荒"
06313;国内油价调价窗口今再开启 年内第二次搁浅概率大
06432;发改委宁吉喆:鼓励钢铁、煤炭、电力企业兼并重组
06586;华东吉沟等区块油气勘探开发取得新突破
06593;工信部:2018年钢铁行业仍要坚定不移去产能 严防新增产能
06659;工业和信息化部关于电解铝企业通过兼并重组等方式实施产能置换有关事项的通知
06661;92号汽油今起涨为7.21元/升
06673;中石油、中海油将参与巴西第四轮盐下层石油区块招标
06822;成品油调价窗口明日开启 机构预计汽油每升涨0.12元
06827;中国海洋资源发展战略研究中心成立
06834;欧盟公布对美报复性关税草案
06843;国内原油期货盘初上扬 刷新上市以来新高
06858;考虑签长期协议 沙特俄罗斯要结石油联盟?
06864;IEA报告:2023年石油市场供需将趋紧
06870;俄能源部长:OPEC减产行动仍有努力空间
07047;工信部:2018年要继续坚定不移抓好钢铁去产能工作
07048;新华社:美退出伊核协议或将继续推升国际油价
07053;找油网发布找油"五数" 成品油价格数据时效性再上新台阶
07095;成品油下调窗口开启 国内油价"两连跌"坐实
07155;肖钢:金融监管体制改革应朝着统筹综合协调的方向深入推进
07223;有色板块延续强势:哪些品种最有潜力 哪些个股最被看好?
07235;地缘局势变化驱动油价涨破四年"天花板"
07262;中国海油杨华:石油在能源中的主导地位短期不会改变
07304;我国研制出铝-石墨烯超级电池 产业化应用进展加速
07322;湛江海关:新海关新作为服务南海油气勘探开发
07325;高盛:预计天然气需求将按年增长1.7%
07340;两部委开展"2+26"城市部分工业行业2017-2018年秋冬季错峰生产工作
07343;随着巴西石油公司削减价格 巴西的燃料进口量将从高记录中下降
07434;发改委:鼓励钢铁、煤炭、电力企业兼并重组
07517;成品油价迎年内最大涨幅!下班快去加油吧
07528;IEA月报:欧佩克几乎消除供给过剩 页岩油风险犹存
07754;特朗普:油价被干预得过高,不会接受这点
07770;上海石油天然气交易中心下周将开展LNG保供预售交易
07779;欧佩克表示美国以外全球上游石油投资需回升
07823;发改委谈去产能:鼓励钢煤电企重组 继续破除无效供给
07876;政协委员马永生:我国石油对外依存度逼近70％
07886;中钢协副秘书长王颖生:兼并重组是钢铁行业下一步重点任务
08081;特朗普关税计划恐拖累美国原油生产 俄罗斯和欧佩克或收获意外之喜
08172;神火集团董事长李炜:煤炭去产能切莫"一刀切"
08174;美关税政策或致页岩油遭无妄之灾 OPEC和俄罗斯高兴了
08176;国内成品油调价已是"板上钉钉" 汽油每升或涨0.12元
08253;杭钢(600126)研制出金属3D打印材料
08304;油气服务与装备:特朗普宣布美国将退出伊朗核协议,油价有望得到进一步支撑
08335;发改委:国内汽、柴油价格每吨分别提高170元和165元
08392;油价今日或近七个月首次下调 春节出行可少花油钱
08573;欧佩克对油价前景现分歧
08625;肖钢:下一步调研工作的方向主要是金融领域
08632;中信证券点评美英法打击叙利亚:基本面不支撑当前高油价持续
08665;新能源汽车再站风口道明光学获密集走访
08727;国内油价开启连涨模式汽油价格将进入"7元时代"
08773;首个页岩气开发项目通过验收 关注油气上游公司
08864;成品油消费税征管新规在安徽落地
08935;玩心跳!美国最后时刻延续对欧盟钢铝关税豁免
08941;美国截至5月11日当周API原油库存意外大增485万桶
08999;阜新市成品油消费税征管有新规
09002;中国石油阿布扎比陆海项目首次提油
09036;特朗普批评油价被"人为"推高 OPEC矢口否认
09084;国家发改委:坚决打赢钢铁去产能攻坚战
09144;12日24时国内汽、柴油零售限价每吨或分别上调55、50元
09235;中石化(600028)日赚1.4亿 领跑三桶油
09239;伊朗计划在未来3至4年增加70万桶日产量 减产行动任重道远
09274;3月26日原油变化率为3.90% 预计汽柴油每吨上调约150元
09315;国际油价9日上涨
09322;成品油价将再度上调 一个半月内累计涨幅超500元
09385;今日油价将再迎下调窗口
09411;石油化工行业2017年报及2018年一季报总结:油价回暖,景气向上
09526;汽油、柴油价格迎年内第三次上调
09692;家临江:油价又要涨上天 油服股假装没看见
09816;黑龙江佳木斯副市长田雨陪同省专项整治督查组检查成品油市场
09884;本轮成品油价格下调成定局 降幅预计超百元
09901;BP和GE联合推动3D打印进军石油和天然气行业
10017;成品油迎年内第三次上调 汽油依旧维持"6元"水平
10071;日本汽油零售价格连续四周上升
10245;新疆油田克美002气井获突破 新增有效天然气地质储量300亿方
10336;游戏并购热继续 宁波富邦39亿买下成都天象谋转型
10406;工信部王江平:化解过剩产能 推动钢铁业高质量发展
10564;上周中国汽柴油批发价格指数环比上涨
10630;中石油董事长:我国成品油过剩是结构性的
10747;姜洋:坚定保护投资者利益
10899;经营好转 煤钢企业债务压力仍存但趋势向好
10907;油价飙升激发能源板块投资潜能
10928;国际原油需求未来5年温和增长,中印贡献一半增量
11200;IEA:因油价上涨下调2018年原油需求增长预期
11203;3D打印机又有突破 这回可直接金属书写
11314;油气改革方案将落地 成品油行业迎来新篇章
11598;油气产业链:"不可能三角"下资本开支必然提升
11599;中国石化副总经理马永生:我国石油对外依存度逼近70%
