供应商名称;股票代码;报告期;金额(万元)
江苏鼎胜新能源材料股份有限公司;603876.SH;2017-12-31;76,621.91
浙江长城电工科技股份有限公司;603897.SH;2017-12-31;44,668.78
珠海拾比佰彩图板股份有限公司;831768.OC;2017-12-31;20,465.29
广东立义科技股份有限公司;836377.OC;2017-12-31;16,452.63
江西金力永磁科技股份有限公司;835009.OC;2017-12-31;13,475.18
安徽协诚实业股份有限公司;835487.OC;2017-12-31;12,214.36
杭州天马时控科技股份有限公司;870243.OC;2017-12-31;11,789.91
深圳山源电器股份有限公司;836904.OC;2017-12-31;11,435.52
浙江万盾制冷股份有限公司;838389.OC;2017-12-31;5,643.30
广东惠利普智能科技股份有限公司;871518.OC;2017-12-31;3,368.83
广东顺德锦美智能识别科技股份有限公司;838096.OC;2017-12-31;3,089.39
广东波斯科技股份有限公司;830885.OC;2017-12-31;1,983.63
浙江信和科技股份有限公司;835142.OC;2017-12-31;1,753.86
广东大雅智能厨电股份有限公司;837009.OC;2017-12-31;1,489.66
奥美森智能装备股份有限公司;833340.OC;2017-12-31;1,311.75
