供应商名称;股票代码;报告期;金额(万元)
福建海峡人力资源股份有限公司;837983.OC;2017-12-31;47,858.48
长飞光纤光缆股份有限公司;6869.HK;2017-12-31;25,282.21
北京安控科技股份有限公司;300370.SZ;2017-12-31;14,996.37
中富通集团股份有限公司;300560.SZ;2017-12-31;6,031.68
杭州迪普科技股份有限公司;-;2017-12-31;1,621.45
四川天邑康和通信股份有限公司;300504.SZ;2017-12-31;1,595.54
湖南美诺信息科技股份有限公司;870538.OC;2017-12-31;1,554.91
创元网络技术股份有限公司;838159.OC;2017-12-31;1,255.27
沈阳市电信规划设计院股份有限公司;871409.OC;2017-12-31;1,203.35
同信通信股份有限公司;832003.OC;2017-12-31;1,060.09
广州易尊网络科技股份有限公司;835464.OC;2017-12-31;1,020.42
龙源创新数字传媒(北京)股份有限公司;837482.OC;2017-12-31;749.27
苏州市龙源电力科技股份有限公司;430579.OC;2017-12-31;482.44
广州热点软件科技股份有限公司;871080.OC;2017-12-31;343.51
北京东进航空科技股份有限公司;839140.OC;2017-12-31;316.88
北京海达信通科技股份有限公司;839209.OC;2017-12-31;206.12
湖南智远数通科技股份有限公司;836837.OC;2017-12-31;167.93
